             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan          5.00000000                 nan          0.03191593          0.00000100
          1.00000000                 nan          5.00000000        102.00000000          0.03191593          0.00000200
          2.00000000          1.00000000          5.00000000        102.00000000          0.03191593          0.00005200
          2.00000000          2.00000000          5.00000000        102.00000000          0.03191593          0.00099900
          2.00000000          4.00000000          5.00000000        102.00000000          0.03191593          0.00125200
          2.00000000          6.00000000          5.00000000        102.00000000          0.03191593          0.00163900
          2.00000000          8.00000000          5.00000000        102.00000000          0.03191593          0.00197200
          3.00000000          1.00000000          5.00000000        102.00000000          0.03191593          0.00107400
          3.00000000          2.00000000          5.00000000        102.00000000          0.03191593          0.00227100
          3.00000000          4.00000000          5.00000000        102.00000000          0.03191593          0.00105600
          3.00000000          6.00000000          5.00000000        102.00000000          0.03191593          0.00184500
          3.00000000          8.00000000          5.00000000        194.00000000          0.03191593          0.00415300
          4.00000000                 nan          5.00000000                 nan          0.03191593          0.00000000

             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan         10.00000000                 nan          0.00826542          0.00000300
          1.00000000                 nan         10.00000000        400.00000000          0.00826541          0.00000300
          2.00000000          1.00000000         10.00000000        400.00000000          0.00826541          0.00004100
          2.00000000          2.00000000         10.00000000        400.00000000          0.00826541          0.00247700
          2.00000000          4.00000000         10.00000000        400.00000000          0.00826541          0.00310300
          2.00000000          6.00000000         10.00000000        400.00000000          0.00826541          0.00465900
          2.00000000          8.00000000         10.00000000        400.00000000          0.00826541          0.00636800
          3.00000000          1.00000000         10.00000000        400.00000000          0.00826541          0.00004700
          3.00000000          2.00000000         10.00000000        400.00000000          0.00826541          0.00108800
          3.00000000          4.00000000         10.00000000        400.00000000          0.00826541          0.00206600
          3.00000000          6.00000000         10.00000000        400.00000000          0.00826541          0.00287000
          3.00000000          8.00000000         10.00000000        400.00000000          0.00826541          0.00511400
          4.00000000                 nan         10.00000000                 nan          0.00826542          0.00000000

             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan         50.00000000                 nan          0.00032905          0.00004400
          1.00000000                 nan         50.00000000       8506.00000000          0.00032900          0.00024900
          2.00000000          1.00000000         50.00000000       8506.00000000          0.00032900          0.00103300
          2.00000000          2.00000000         50.00000000       8506.00000000          0.00032900          0.03207900
          2.00000000          4.00000000         50.00000000       8506.00000000          0.00032900          0.05853500
          2.00000000          6.00000000         50.00000000       8506.00000000          0.00032900          0.10007100
          2.00000000          8.00000000         50.00000000       8506.00000000          0.00032900          0.12976000
          3.00000000          1.00000000         50.00000000       8506.00000000          0.00032900          0.00076800
          3.00000000          2.00000000         50.00000000       8506.00000000          0.00032900          0.01020800
          3.00000000          4.00000000         50.00000000       8506.00000000          0.00032900          0.01888900
          3.00000000          6.00000000         50.00000000       8506.00000000          0.00032900          0.03332200
          3.00000000          8.00000000         50.00000000       8506.00000000          0.00032900          0.04767100
          4.00000000                 nan         50.00000000                 nan          0.00032905          0.00000100

             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan        100.00000000                 nan          0.00008225          0.00033300
          1.00000000                 nan        100.00000000      31227.00000000          0.00008205          0.00183700
          2.00000000          1.00000000        100.00000000      31227.00000000          0.00008205          0.00578300
          2.00000000          2.00000000        100.00000000      31227.00000000          0.00008205          0.12153000
          2.00000000          4.00000000        100.00000000      31227.00000000          0.00008205          0.23116400
          2.00000000          6.00000000        100.00000000      31227.00000000          0.00008205          0.36583900
          2.00000000          8.00000000        100.00000000      31227.00000000          0.00008205          0.48092800
          3.00000000          1.00000000        100.00000000      31227.00000000          0.00008205          0.00387800
          3.00000000          2.00000000        100.00000000      31227.00000000          0.00008205          0.03956900
          3.00000000          4.00000000        100.00000000      31227.00000000          0.00008205          0.05179500
          3.00000000          6.00000000        100.00000000      31227.00000000          0.00008205          0.11734800
          3.00000000          8.00000000        100.00000000      31227.00000000          0.00008205          0.14478700
          4.00000000                 nan        100.00000000                 nan          0.00008225          0.00000100

             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan        300.00000000                 nan          0.00000914          0.00867500
          1.00000000                 nan        300.00000000     241002.00000000          0.00000731          0.04612000
          2.00000000          1.00000000        300.00000000     241002.00000000          0.00000731          0.10133300
          2.00000000          2.00000000        300.00000000     241002.00000000          0.00000731          1.11553400
          2.00000000          4.00000000        300.00000000     241002.00000000          0.00000731          1.85092400
          2.00000000          6.00000000        300.00000000     241002.00000000          0.00000731          2.90037900
          2.00000000          8.00000000        300.00000000     241002.00000000          0.00000731          3.83527600
          3.00000000          1.00000000        300.00000000     241002.00000000          0.00000731          0.06407000
          3.00000000          2.00000000        300.00000000     241002.00000000          0.00000731          0.31697800
          3.00000000          4.00000000        300.00000000     241002.00000000          0.00000731          0.37927600
          3.00000000          6.00000000        300.00000000     241002.00000000          0.00000731          0.88496100
          3.00000000          8.00000000        300.00000000     241002.00000000          0.00000731          1.12066000
          4.00000000                 nan        300.00000000                 nan          0.00000914          0.00000500

             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan        500.00000000                 nan          0.00000329          0.03805100
          1.00000000                 nan        500.00000000     617699.00000000          0.00000178          0.20003000
          2.00000000          1.00000000        500.00000000     617699.00000000          0.00000178          0.41145400
          2.00000000          2.00000000        500.00000000     617699.00000000          0.00000178          2.79022600
          2.00000000          4.00000000        500.00000000     617699.00000000          0.00000178          4.75999700
          2.00000000          6.00000000        500.00000000     617699.00000000          0.00000178          7.57515000
          2.00000000          8.00000000        500.00000000     617699.00000000          0.00000178         10.20416000
          3.00000000          1.00000000        500.00000000     617699.00000000          0.00000178          0.23427300
          3.00000000          2.00000000        500.00000000     617699.00000000          0.00000178          0.80980500
          3.00000000          4.00000000        500.00000000     617699.00000000          0.00000178          0.99223900
          3.00000000          6.00000000        500.00000000     617699.00000000          0.00000178          2.34594700
          3.00000000          8.00000000        500.00000000     617699.00000000          0.00000178          3.57903900
          4.00000000                 nan        500.00000000                 nan          0.00000329          0.00000900

             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan       1500.00000000                 nan          0.00000037          1.00072500
          1.00000000                 nan       1500.00000000    4557543.00000000          0.00004522          4.67370600
          4.00000000                 nan       1500.00000000                 nan          0.00000037          0.00002700

             version              nb_cpu                   N        nb_iteration        erreur_infty               temps
          0.00000000                 nan       3000.00000000                 nan          0.00000009          7.94592900
          1.00000000                 nan       3000.00000000   15702305.00000000          0.00018223         32.37263700
          4.00000000         -1.00000000       3000.00000000                 nan          0.00000009          0.00006100
