             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000                 nan        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         52.13622600
          2.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         51.95987800
          2.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         30.05612000
          2.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         20.93223500
          2.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         25.00224400
          2.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         21.71254500
          3.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         53.26223600
          3.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         33.69045200
          3.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         25.86527700
          3.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         35.36988300
          3.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         38.38450400
          4.00000000                 nan        200.00000000          0.00500000        200.00000000          0.00500000                 nan          0.33858700
          5.00000000                 nan        200.00000000          0.00500000        200.00000000          0.00500000                 nan          0.32821400
          4.00000000                 nan        400.00000000          0.00250000        400.00000000          0.00250000                 nan          3.28451700
          5.00000000                 nan        400.00000000          0.00250000        400.00000000          0.00250000                 nan          3.16987900
          4.00000000                 nan        600.00000000          0.00166667        600.00000000          0.00166667                 nan         12.63543200
          5.00000000                 nan        600.00000000          0.00166667        600.00000000          0.00166667                 nan         11.10940500
          4.00000000                 nan        800.00000000          0.00125000        800.00000000          0.00125000                 nan         31.95411200
          5.00000000                 nan        800.00000000          0.00125000        800.00000000          0.00125000                 nan         27.04104800
          4.00000000                 nan       1000.00000000          0.00100000       1000.00000000          0.00100000                 nan         60.40219000
          5.00000000                 nan       1000.00000000          0.00100000       1000.00000000          0.00100000                 nan         54.13529800
          4.00000000                 nan       1200.00000000          0.00083333       1200.00000000          0.00083333                 nan         97.67985800
          5.00000000                 nan       1200.00000000          0.00083333       1200.00000000          0.00083333                 nan         91.58169600
          4.00000000                 nan       1400.00000000          0.00071429       1400.00000000          0.00071429                 nan        159.09691600
          5.00000000                 nan       1400.00000000          0.00071429       1400.00000000          0.00071429                 nan        152.68081000

             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000                 nan        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         57.76631400
          2.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         58.15019000
          2.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         36.42982300
          2.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         24.25471200
          2.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         28.47586300
          2.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         25.61736300
          3.00000000          1.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         98.27301400
          3.00000000          2.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         63.74525200
          3.00000000          4.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         74.16692000
          3.00000000          6.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan         88.46364200
          3.00000000          8.00000000        200.00000000          0.00500000     160000.00000000          0.00000625                 nan        131.98536100
          4.00000000                 nan        200.00000000          0.00500000        200.00000000          0.00500000                 nan          0.35584100
          4.00000000                 nan        400.00000000          0.00250000        400.00000000          0.00250000                 nan          3.51591600
          4.00000000                 nan        600.00000000          0.00166667        600.00000000          0.00166667                 nan         12.29687600
          4.00000000                 nan        800.00000000          0.00125000        800.00000000          0.00125000                 nan         29.15262100
          4.00000000                 nan       1000.00000000          0.00100000       1000.00000000          0.00100000                 nan         58.35079400
          4.00000000                 nan       1200.00000000          0.00083333       1200.00000000          0.00083333                 nan         99.01035500
          4.00000000                 nan       1400.00000000          0.00071429       1400.00000000          0.00071429                 nan        162.81521100
