             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000                 nan        100.00000000          0.01000000        100.00000000          0.01000000          0.01570926                 nan
          1.00000000                 nan        100.00000000          0.01000000        200.00000000          0.00500000          0.00780545                 nan
          1.00000000                 nan        100.00000000          0.01000000        500.00000000          0.00200000          0.00307972                 nan
          1.00000000                 nan        100.00000000          0.01000000       1000.00000000          0.00100000          0.00150733                 nan
          1.00000000                 nan        200.00000000          0.00500000        100.00000000          0.01000000                 inf                 nan
          1.00000000                 nan        200.00000000          0.00500000        200.00000000          0.00500000          0.00785414                 nan
          1.00000000                 nan        200.00000000          0.00500000        500.00000000          0.00200000          0.00312801                 nan
          1.00000000                 nan        200.00000000          0.00500000       1000.00000000          0.00100000          0.00155531                 nan
          1.00000000                 nan        500.00000000          0.00200000        100.00000000          0.01000000                 inf                 nan
          1.00000000                 nan        500.00000000          0.00200000        200.00000000          0.00500000                 inf                 nan
          1.00000000                 nan        500.00000000          0.00200000        500.00000000          0.00200000          0.00314160                 nan
          1.00000000                 nan        500.00000000          0.00200000       1000.00000000          0.00100000          0.00156886                 nan
          1.00000000                 nan       1000.00000000          0.00100000        100.00000000          0.01000000                 inf                 nan
          1.00000000                 nan       1000.00000000          0.00100000        200.00000000          0.00500000                 inf                 nan
          1.00000000                 nan       1000.00000000          0.00100000        500.00000000          0.00200000                 inf                 nan
          1.00000000                 nan       1000.00000000          0.00100000       1000.00000000          0.00100000          0.00157080                 nan

             version              nb_cpu                   N                   h                 N_t                 h_t        erreur_infty               temps
          1.00000000                 nan       5000.00000000          0.00020000       5000.00000000          0.00020000                 nan          0.01543500
          1.00000000                 nan      10000.00000000          0.00010000      10000.00000000          0.00010000                 nan          0.03000100
          1.00000000                 nan      20000.00000000          0.00005000      20000.00000000          0.00005000                 nan          0.09562800
